"infinitive","sg_Ip_form","sg_IIp_form","sg_IIIp_form","pl_Ip_form","pl_IIp_form","pl_IIIp_form"
brauchen,brauche,brauchst,braucht,brauchen,braucht,brauchen
bringen,bringe,bringst,bringt,bringen,bringt,bringen
darstellen,stelle dar,stellst dar,stellt dar,stellen dar,stellt dar,stellen dar
denken,denke,denkst,denkt,denken,denkt,denken
dienen,diene,dienst,dient,dienen,dient,dienen
diskutieren,diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren
durchführen,führe durch,führst durch,führt durch,führen durch,führt durch,führen durch
dürfen,darf,darfst,darf,dürfen,dürft,dürfen
eignen,eigne,eignest,eignet,eignen,eignet,eignen
einsetzen,setze ein,setzt ein,setzt ein,setzen ein,setzt ein,setzen ein
empfehlen,empfehle,empfiehlst,empfiehlt,empfehlen,empfehlt,empfehlen
entdecken,entdecke,entdeckst,entdeckt,entdecken,entdeckt,entdecken
entfernen,entferne,entfernst,entfernt,entfernen,entfernt,entfernen
enthalten,enthalte,enthältst,enthält,enthalten,enthaltet,enthalten
entscheiden,entscheide,entscheidest,entscheidet,entscheiden,entscheidet,entscheiden
entsprechen,entspreche,entsprichst,entspricht,entsprechen,entsprecht,entsprechen
entstehen,entstehe,entstehst,entsteht,entstehen,entsteht,entstehen
entwickeln,entwickle; entwickele,entwickelst,entwickelt,entwickeln,entwickelt,entwickeln
erfahren,erfahre,erfährst,erfährt,erfahren,erfahrt,erfahren
erfolgen,erfolge,erfolgst,erfolgt,erfolgen,erfolgt,erfolgen
erfüllen,erfülle,erfüllst,erfüllt,erfüllen,erfüllt,erfüllen
ergeben,ergebe,ergibst,ergibt,ergeben,ergebt,ergeben
erhalten,erhalte,erhältst,erhält,erhalten,erhaltet,erhalten
erhöhen,erhöhe,erhöhst,erhöht,erhöhen,erhöht,erhöhen
erinnern,erinnere,erinnerst,erinnert,erinnern,erinnert,erinnern
erkennen,erkenne,erkennst,erkennt,erkennen,erkennt,erkennen
erklären,erkläre,erklärst,erklärt,erklären,erklärt,erklären
erlauben,erlaube,erlaubst,erlaubt,erlauben,erlaubt,erlauben
erleben,erlebe,erlebst,erlebt,erleben,erlebt,erleben
ermöglichen,ermögliche,ermöglichst,ermöglicht,ermöglichen,ermöglicht,ermöglichen
erreichen,erreiche,erreichst,erreicht,erreichen,erreicht,erreichen
erscheinen,erscheine,erscheinst,erscheint,erscheinen,erscheint,erscheinen
erstellen,erstelle,erstellst,erstellt,erstellen,erstellt,erstellen
erwarten,erwarte,erwartest,erwartet,erwarten,erwartet,erwarten
erzählen,erzähle,erzählst,erzählt,erzählen,erzählt,erzählen
fahren,fahre,fährst,fährt,fahren,fahrt,fahren
fallen,falle,fällst,fällt,fallen,fallt,fallen
fehlen,fehle,fehlst,fehlt,fehlen,fehlt,fehlen
feiern,feiere,feierst,feiert,feiern,feiert,feiern
finden,finde,findest,findet,finden,findet,finden
folgen,folge,folgst,folgt,folgen,folgt,folgen
fordern,fordere,forderst,fordert,fordern,fordert,fordern
fragen,frage,fragst,fragt,fragen,fragt,fragen
freuen,freue,freust,freut,freuen,freut,freuen
funktionieren,funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren
fördern,fordere,forderst,fordert,fordern,fordert,fordern
fühlen,fühle,fühlst,fühlt,fühlen,fühlt,fühlen
führen,führe,führst,führt,führen,führt,führen
geben,gebe,gibst,gibt,geben,gebt,geben
gehen,gehe,gehst,geht,gehen,geht,gehen
